Taxon,Basidiospore,PleurocystidiaPresence,CapSize,BasidiosporeSize,Discoloration,StipeBase,CapSurface,Odor,Caulocystidia,Tree
abjecta P. Karst.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Coniferous
abundans Murrill,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Definite,At stipe center,Mixed
acriolens Grund & D.E. Stuntz,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,At stipe center,Fir
acuta Boud.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Hemlock
acystidiosa Kauffman (variabillima),"Angular, Nodulose or Spiny, Digit",No pleurocystidia,Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Pine
adaequata (Britzelm.) Sacc. (jurana),Smooth,No pleurocystidia,Over 50 mm,"Large, length over 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Decidious
agardhii (N. Lund) P.D. Orton,Smooth,No pleurocystidia,Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Mixed
agglutinata Peck (whitei),Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,Only near apex,Coniferous
alabamensis Kauffman,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,At stipe center,Soil
albodisca Peck (grammata),"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,At stipe center,Hemlock
albomarginata Velen. (ovalispora),Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Decidious
amblyspora Kuehner,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Mixed
angustispora Bessette & Fatto,Smooth,No pleurocystidia,Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Oak
anomala Murrill,Smooth,No pleurocystidia,Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Redwood
apiosmota Grund & D.E. Stuntz,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,n/a
armoricana R. Heim,Smooth,No pleurocystidia,Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Coniferous
asterospora Quel.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Definite,At stipe center,Mixed
auricoma (Batsch) Sacc. (pallidipes),Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
aurora Grund & D.E. Stuntz,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Spruce
aurora var. inodorata Grund & D.E. Stuntz,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Mixed
bakeri Peck,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Oak
bresadolae Massee (repanda),"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",Distinct color change with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,At stipe center,Decidious
brunneolipes Grund & D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,At stipe center,Coniferous
brunnescens Earle,Smooth,No pleurocystidia,Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Oak
caesariata (Fr.) P. Karst. (fibrillosa),Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Decidious
calamistrata (Fr.) Gillet (hirsuta),Smooth,No pleurocystidia,Up to 35 mm,"Large, length over 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Mixed
calamistrata var. mucidiolens Grund & D.E. Stuntz,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Coniferous
californica Kauffman,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",n/a,Only near apex,n/a
calospora Quel.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Lacking or questionably faint,At stipe center,Decidious
castanea Peck,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Coniferous
cervicolor (Pers.) Quel.,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Mixed
chalcodoxantha Grund & D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,At stipe center,Coniferous
chelanensis D.E. Stuntz,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Coniferous
chrysocephala F.H. Nishida,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Oak
cicatricata Ellis & Everh.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Fir
cinnamomea A.H. Sm.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Spruce
comatella (Peck) Sacc.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,At stipe center,Wood
connexa Kauffman,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Pine
cookei Bres. (fastigiata var. microsperma),Smooth,No pleurocystidia,Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
corydalina Quel.,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Decidious
corydalina var. erinaceomorpha (Stangl & J. Veselsky) Kuyper (scabra),Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Mixed
cryptocystis D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Decidious
cylindrocystis G.F. Atk.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Decidious
davisiana Kauffman,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",n/a,Only near apex,Pine
decipiens Bres.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Definite,At stipe center,Decidious
dulcamara (Pers.) P. Kumm.,Smooth,No pleurocystidia,Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Fir
earleana Kauffman,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,At stipe center,Mixed
erubescens A. Blytt (patouillardii),Smooth,No pleurocystidia,Over 50 mm,"Large, length over 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Decidious
erythospilota Grund & D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Spruce
eutheles Sacc.,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Coniferous
eutheloides Peck,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,Only near apex,Mixed
excoriata Peck,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,Decidious
fallax Peck,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",n/a,At stipe center,Mixed
fastigiella G.F. Atk. (maculata),Smooth,No pleurocystidia,Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
ferruginosa A.H. Sm.,Smooth,No pleurocystidia,Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Decidious
fibrosa (Sowerby) Gillet,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,At stipe center,Mixed
flocculosa Sacc. (gausapata),Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Mixed
fraudans (Britzelm.) Sacc. (pyriodora),Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
fulvella Bres.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Decidious
fuscicothurnata Grund & D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Hemlock
fuscidula Velen. (virgatula),Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
fuscodisca (Peck) Massee,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Coniferous
geophylla (Bull.) P. Kumm.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
geophylla var. lilacina (Peck) Gillet,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
glaber Kauffman,Smooth,No pleurocystidia,Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Decidious
godeyi Gillet,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",Distinct color change with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,At stipe center,Decidious
grammata Quel.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,At stipe center,Mixed
griseolilacina J.E. Lange,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Coniferous
griseoscabrosa (Peck) Earle,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Decidious
hemileuca F.H. Nishida & D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Coniferous
heterochrominea Grund & D.E. Stuntz,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Mixed
hirsuta var. maxima A.H. Sm.,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",Distinct color change with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,Only near apex,Coniferous
hirtella Bres.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Definite,At stipe center,Decidious
hotsoniana D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Fir
hystrix (Fr.) P. Karst.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Decidious
infida (Peck) Massee,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",n/a,Only near apex,Decidious
insignis A.H. Sm.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Over 50 mm,"Large, length over 10.5 micron",Distinct color change with age or bruising,"Definite bulb, may be marginate","Tomentose, scaly, squamulose",Definite,At stipe center,Mixed
insinuata Kauffman,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Pine
intricata Peck,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Mixed
intricata var. pallidistipitata Grund & D.E. Stuntz,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Mixed
jacobi Kuehner (rufoalba),"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Definite,At stipe center,Spruce
kauffmanii A.H. Sm.,Smooth,"Present, often encrusted, Metuloid",Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,At stipe center,Coniferous
lacera (Fr.) P. Kumm.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Mixed
laetior D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Coniferous
lanatodisca Kauffman (maculata),Smooth,No pleurocystidia,Over 50 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Mixed
lanatodisca var. phaeoderma (D.E. Stuntz) Grund & D.E. Stuntz,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Definite,Only near apex,Decidious
langei R. Heim,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Definite bulb, may be marginate","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Decidious
lanuginosa (Bull.) P. Kumm.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Coniferous
leiocephala D.E. Stuntz,Smooth,"Present, often encrusted, Metuloid",Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,At stipe center,Coniferous
leptocystis G.F. Atk.,Smooth,"Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Smooth, appressed fibrillose silky",Lacking or questionably faint,Only near apex,Coniferous
leptophylla G.F. Atk.,"Angular, Nodulose or Spiny, Digit",No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Wood
longicystis G.F. Atk.,"Angular, Nodulose or Spiny, Digit","Present, often encrusted, Metuloid",Up to 35 mm,"Small, length up to 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",Lacking or questionably faint,Only near apex,Mixed
lorillardiana Murrill,Smooth,No pleurocystidia,Between 35 and 50 mm,"Large, length over 10.5 micron",No discoloration with age or bruising,"Equal, undecisive swelling, subbulbous","Tomentose, scaly, squamulose",n/a,Only near apex,n/a
